name,lat,lng,likes,ratings,photos
Picoso's Tacos Y Mas,33.8730899,-118.3343577,0,,2
Rigos Taco,34.1790776,-118.4306389,9,6.4,15
Chipotle Mexican Grill,33.919643,-118.3964664,79,7.2,76
La Paz Restaurant,33.922767,-118.4043823,23,7.4,18
El Pollo Loco,33.92459729999999,-118.3952696,31,7.4,28
Tomatillo,33.7482156,-118.4059444,2,,9
Chipotle Mexican Grill,34.0610653,-118.4462236,62,7.3,66
Taqueria,33.7925761,-118.3309445,0,,0
Guadalupe's Grill,33.8193843,-118.1965587,10,7.5,8
El Pollo Loco,33.7961213,-118.3390975,8,6.4,4
El Pollo Loco,33.7965124,-118.3385843,8,6.4,4
Sol Y Luna,34.1730205,-118.5602466,155,8.8,159
El Pollo Loco,34.1722238,-118.5638169,9,6.6,7
Presidente Restaurant,34.2788209,-118.4690787,31,7.2,33
El Ruby Mexican Restaurant,34.1295272,-118.2595146,3,,6
Taco Bell,34.13476199999999,-118.2575274,20,6.3,21
Taco Bell,33.9605368,-118.2567052,0,5.9,1
Baja Fresh,34.1563262,-118.6441744,11,6.9,8
Lucy's El Adobe Cafe,34.083397,-118.321094,18,6.4,57
Tere's Mexican Grill,34.083152,-118.3284448,63,8.6,54
King Taco # 15,34.0185727,-118.1797601,59,7.8,107
La Indiana Tamales,34.0196321,-118.1920992,0,,2
Tila's Kitchen,34.0240817,-118.1889153,2,,1
Antojitos Denises,34.0186785,-118.1870722,0,,1
RJM Mexican Grill,34.2191594,-118.369684,4,,3
El Compadre Restaurant,34.2240899,-118.365182,1,,4
El Pollo Loco,34.2229392,-118.3663971,8,7.0,1
Centro Botanero,34.2209726,-118.3679344,0,,0
Chiguacle Sabor Ancestral de Mexico,34.2208698,-118.3678808,0,,1
Chipotle Mexican Grill,34.0475871,-118.256677,76,6.4,163
Casa Mayoral Restaurant,33.85921039999999,-118.2649962,0,,0
Don Antonio's,34.0311933,-118.4470883,127,8.2,202
TACOS JR,34.2351078,-118.4360934,1,,2
La Velvet Margarita Cantina,34.1002325,-118.3292778,106,8.1,278
Que Ricos,34.0840916,-118.2914654,3,,6
Mi Zacatecas Mexican Food,33.9160479,-118.3608845,16,7.5,12
Mota's Mexican Restaurant,34.1869215,-118.1599585,3,,7
Tacos Ensenada Seafood,34.1840447,-118.1594886,3,,4
Villa Sombrero Restaurant,34.1175091,-118.1858383,4,6.9,36
Taco Bar,33.8958492,-118.2200712,1,5.8,2
Tamales Los Angeles,34.0443942,-118.1735675,1,,1
La Favorita Tortilleria,34.0434635,-118.1778278,1,,1
Tacos Jeesy,34.0405554,-118.1774236,0,,0
Tono's Tacos,34.0401781,-118.1733996,0,,0
